summonername,games_lost,loss_rate_percentage
묵언수행갱봉이,6,12.00
ydyssjwt,6,12.00
"경고 바텀만감",6,11.77
"Realize Now",6,11.77
우류어마,6,11.54
라인꼬이면오픈함,6,11.54
뫄지막,6,11.54
남자의마음은갈대,6,11.32
"Only Trust Me",6,11.32
SongKoon,6,11.32
imango,6,11.11
"  코가 토모에",6,11.11
adadadadad20,6,10.91
afreecaTV권도용,6,10.91
초심찾는중입니다,6,10.71
"AfreecaTV 선규리",6,10.71
Jug242,6,10.53
ckirykiryh2,6,10.53
조여봐,6,10.53
Youtube규상,6,10.53
"엘 림",6,10.53
"몽키 D 펭귄",6,10.53
lIlllIlllIlllIlI,6,10.35
"신동주의 참교육",6,10.35
"Blaze Tyrant",6,10.00
dkshaqkfTl,6,10.00
"미드 권위자 ATC ",6,9.84
우포루,6,9.52
"Gen G 스카웃터 ",6,9.52
wxzq,6,9.52
wrsIt,6,9.38
"ni jiao ",6,9.38
Louiz,6,9.38
"청춘을 바친 대가",6,9.38
"ASG replica",6,9.38
gkatjrgs,6,9.38
So1o,6,9.38
Adjanic,6,9.23
"NES Rajesty",6,9.23
DODARl,6,9.23
"사랑한다 장만월",6,9.23
"SANDBOX Wizer",6,9.09
딸기맛o,6,9.09
한지민1,6,9.09
불다이아,6,8.96
zaaazzzaa,6,8.96
태생이사기캐,6,8.96
gtqeti249,6,8.96
뭐하누갈갈갈갈갈,6,8.96
"Lana Del Rey 1",6,8.82
"Who Am I Dorothy",6,8.82
초보강아지,6,8.70
KingKlngKingKing,6,8.70
ansehgns친구,6,8.57
"1950 10 01",6,8.57
히유미,6,8.57
"리 달",6,8.45
"Humble love",6,8.45
"영리한 소년",6,8.45
Corsa1r,6,8.45
"SRB Emilia",6,8.33
초코맛바나나,6,8.33
lxy1,6,8.33
죽기장인,6,8.33
주먹밥쿵야1,6,8.33
배호진래,6,8.33
"규 말",6,8.22
이상한서포터유저,6,8.22
도움핑무시오픈,6,8.22
Aemulator,6,8.22
"Lacerat1on KR",6,8.22
폭포에서내려온자,6,8.11
"Del 170118",6,8.11
"April FooIs",6,8.00
"치 열",6,7.90
지조있게우직하게,6,7.90
LeeHeeMin,6,7.79
MadKlD,6,7.79
Yunqiy0uxi,6,7.79
sxo,6,7.79
"푸른 사랑 종착점",6,7.69
"빨 직",6,7.69
ovooovooovo,6,7.69
"겨 론",6,7.50
롤마니어렵넹,6,7.50
펜니르,6,7.50
"아름답고 슬픈 꽃",6,7.41
FocusOnMyLife,6,7.41
"bot gank plz",6,7.41
"RNG  12",6,7.32
"cv guangjiangy",6,7.23
"은별이 너무좋아",6,7.23
아잌어,6,7.23
PMD91,6,7.23
"Tlcc Eflin",6,7.23
페이스북,6,7.23
"중고 핑와 삽니다",6,7.23
SinonOuO,6,7.14
nmszdexdwlsd,6,7.14
Pina35,6,7.14
TOSXD,6,7.06
"핏빛 계약",6,6.98
"East Ra1n",6,6.98
"BLG 9Letnaru",6,6.98
mutedax4,6,6.98
Noisave,6,6.90
"Synchronic1ty ",6,6.82
상진이예요,6,6.82
"인생 즐겨요",6,6.82
울타리,6,6.82
이조랭이떡같은게,6,6.74
"음파장인 음파파",6,6.67
사과포도배바나나,6,6.67
방어회먹고방어해,6,6.59
롤드컵가즈아,6,6.59
종이조류,6,6.59
다훈갓,6,6.59
"DRX DantaIian",6,6.59
"나는 용장이다",6,6.52
"정글이 잘못했어",6,6.52
2019년11월20일,6,6.52
미고친양이,6,6.38
"HuyaTv 90777",6,6.38
"ad plz jg plz",6,6.38
"First chapter",6,6.32
bey0ndsky,6,6.32
"너무 맛있어",6,6.32
문어속타코야키,6,6.32
"Mid Paradox",6,6.32
치렝이,6,6.25
WWWWWWWVWWWWWWWV,6,6.25
"Prayer x9",6,6.25
은별새,6,6.25
김머띵,6,6.25
"Ni De Ai Qing",6,6.19
Aurorae2,6,6.19
XinMo2,6,6.19
" 초바 모자",6,6.19
"밍 9",6,6.19
"장미단 꼬부기",6,6.12
"레 핸",6,6.12
문검수,6,6.06
Ezrea,6,6.00
"cheer happy zyf",6,6.00
"Creative Self",6,5.94
도벽달달하네,6,5.88
자비점여,6,5.88
Eerry,6,5.88
미니언사냥함,6,5.83
블루리쉬잘해요,6,5.77
소곤소곤할말다함,6,5.71
대야웰백,6,5.71
RNGNeGro10,6,5.71
"AFTV black kitty",6,5.66
mycym,6,5.66
