accountid,summonername,championsplayed,championpoollabel
_6htJDbqMP2zV_Fifb5HjH9e5-yb6eInURQDvelweulRS1iq2bMqOMU5,"블          윤",1,"champion spoon"
_6K0sNYN7bDOA8884y4-5p7hd97wuNeTge65hn1FpnUIgfUhf2o9s2Wc,"바텀은 아래야",1,"champion spoon"
_6KF8s-Rtl8a1sF_ifOFg0QHULrDitcYSshUHrqw75uW,"코로나 19 virus",1,"champion spoon"
_6kjo1g7D5lsKRr8OFxxE0DNaKIoWhwkAlz-eCanI0oJvdA,"뉴 별",1,"champion spoon"
_6LlKvBCciOgzsMPh2Hj9gMmQDOQpR1X-bsVolcA_w01zos,레몬불구름,6,"champion pool"
_6njpsPhGMbFr6cgbapUQJ2AzF-l46DA7-DG_MGGe3bb,이집원딜쫌잘하네,1,"champion spoon"
_6NXwlZSDESrPZAb546XdVo5_NKZAyPfldC6i2to_rRv,"꽃 사돌",5,"champion spoon"
_6o5azYNaUwyTR6WEItpyYH3RUClZwgPtY0sxGijxScOZo8,Momiji,1,"champion spoon"
_6OO_6wieNw2hsg9YwFG06eY1Ix7-fakbFi5dRCL4svk,도랐따뚜이,1,"champion spoon"
_6owgvw8cFUOfL2e3WbK6AL8Jb5W09pDIGqLH5cDeNCX,"안녕 조이",3,"champion spoon"
_6PVo7-ugeZBssl4T4E9_Uw6oQ6m-SLztU0rv5VgjMqJS-o,이쁘다마음이,1,"champion spoon"
_6pY64TLrncstuYwBEJMsoUd-iJsoUYEX6YGJni-slU6MDw,"상큼한 멘탈",1,"champion spoon"
_6Qsr4KOt2EIjtOx90MKxQCNi3lcBqrUiV5JdWcw-9ET,오빤공남스타일,5,"champion spoon"
_6QYwuab8qZqDhIeAtxxQ2YIf2IyeAiBmEQUd4WuFFWYdhQPhpcoKzW6,지리산메뚜기쌀,1,"champion spoon"
_6R_lug3cEiiq3KOXZZK5vrdRy_Wvcqiy36DtiSWaWMaemw,메론맛있다,1,"champion spoon"
_6RVAT6cvtBAdW1Pr8-_uetBEsEvtKtCL5kI-Csq_J_R,클리우드,1,"champion spoon"
_6RzNTVHI59vc5sSErvlmCC634EtLIqtV9Lj3n3qBZHp,도노반6,2,"champion spoon"
_6S2aIdxhf_bgopJiQPBOc6QOV1-B7lodyGPEGyDzFVNfG5DqjG0xAmS," YIN J",1,"champion spoon"
_6S2ILh5ulbvHzOHs-vrO2LpsEiCIp6oeeRjTRXEgk8rvCw,각타리나,3,"champion spoon"
_6SguLVCYISTsZar7cAF20eovml_uUwqmsu1y7QxHNyeEZE,율현님,10,"champion pool"
_6sJoes9Y_iTnkiKDE7ZUnde38cpEkwqY3qi4_R0qz7dpak,qYoYp,1,"champion spoon"
_6tjnAl7jF4dMZa0q0XbIHAs-BiGjrRmPHJ0iIVaQCe0,"Sona Professor",1,"champion spoon"
_6uEE-jv311Exy22e9LMxKc3I75JF2TCcvbs6gWQnKMTvAeMN-f0YsJK,075A,1,"champion spoon"
_6V51FQCJna3VZG6C2bgxtdk1QVtNfzR-_GVKThD4sqiezc,캔자스3,2,"champion spoon"
_6vaaufjRfb4emSGzTTuNbg-At7fCV90KXYA56JXhhVD,겐세이왕,1,"champion spoon"
_6VsB7FRz-I98CbUUW2Hd-qNmeWYRflVqRTOeo2MQ3IE,ESBY,2,"champion spoon"
_6VTUwMYwD7Ve_yCLKfdll40SmFLJEwKTyvf4MqZvM77cRE,J1N2,1,"champion spoon"
_6Wee2kN46RBQAAOMJhR88Th6mHNXVohtG-3X7aCrp6MjUE,"스타강사 최선생",1,"champion spoon"
_6x5od17R2KXw4xaal2VIG-zwUV3YNMiDzDNJE_Lspl5xQQ,"Loop of Fate",3,"champion spoon"
_6xcgSExW1orO-AIusJv9jxKdfVtkkt5MXh0h7Nu-lYsxeU,jinhjo,1,"champion spoon"
_6z0sPqxNbrIvu8-7rV5Bkd7Y72rqxl8oS67ZvNIAF4m,tanwanlanyue,1,"champion spoon"
_7_K4Qd8gSWvlrJ5CVWYurLl6vcwFKW9KZ9AYMZzMgNoy6I,행복전도사HAPPY,1,"champion spoon"
_7-5Uxzj-hSAsOIH6Df95m_RgmRxEtv46Yvm7O0-XLha,이영신,1,"champion spoon"
_71ZQJa1N-GSv4j5seop5nGtQPxM1XPxffALAytUYG-qaEU,"Hidden capacity",1,"champion spoon"
_77YXLle5i256D7oJ25sCJHpLLnomgf6DYNBHxlVC1B9,스크라이브다,1,"champion spoon"
_78i5VRluvhU0eahkotER4pYoJjXIwzb8WI3QvgIF0gO,"신들린 요리",3,"champion spoon"
_7aopqLtLDsqIaQTEe3MbonJ7pFTPgh1Kx3TQKcfGkC7,AllThatMel0na,1,"champion spoon"
_7cA94MNONInaEmQWQTnTCGXbj_qDPsudh3xmO25LR3B,GoooRi,1,"champion spoon"
_7CHBLS0fLr6za1IoNapima2zh05Ua0kE1rmNe_c9fDt,팩폭맨,1,"champion spoon"
_7cTpA0zSPTRlASo2H79iN8FFtmDqZNfIkOVsBRlorZk9Xo,"내눈에 탈주각",1,"champion spoon"
_7D2hpbyhRQl5j-vIBx2KDMu_ipTe8jhzwOrPhyRtIxvkx0,보지라,1,"champion spoon"
_7D4x5v-oYG3MJI2V1VzVVwzYogUbJ4tRi9n9OSpgFdg,드리미스트,1,"champion spoon"
_7eKS3V9mAqaAQiEg0Dbwrn7yPJ16N2q-5Lt2kkwf2erAsw,"정 덕 두",2,"champion spoon"
_7fbJt-4Inx2NUwCBFYaTP0XJtSGIiUX7n04jjZweHXI7mI,0AI0,1,"champion spoon"
_7FgjaFSCFCBEL9ifBZARsqZIv5X_2aqntT1t_oanYeyi_v3FKkw2V_c,또벌레전드,1,"champion spoon"
_7G454fzkdF7qht0oAgaompBlMydeum-6jw6TuHxJBRw4xmB-j2aUIVX,guccidoong,1,"champion spoon"
_7HdkASitqYFpQsdJ4JPUmdAWLQPSolE-Qq78OYE1RLultTGlZ4uBomS,"jusaka king",4,"champion spoon"
_7hFhDPD3IByCY0C_GzYBxa-1fOUYcHu3KEVQDDuzR6l,"Macaca mulatta",1,"champion spoon"
_7hi504vMa0e6XY7iGyiTfKTP2_EyiLW3-J7OzaT1kwcM6U,아무튼그래,1,"champion spoon"
_7hrpTV-AzBECQLLrT4Fzv2Ejml2A7l7P7Ui5jw1htL2HPc,"원딜하는 현민이",1,"champion spoon"
_7hw-DHnQnTjiptnXAaJJpDry3qgglqmoAloYvvOwowLqc6P3M4p6hfO,강다솔,1,"champion spoon"
_7iVhxYE7Bn9zNHvc0aiZy3h1vSrrPBOQjnJXO8wuP--,"윤 댕",1,"champion spoon"
_7KsJMl8ujjYlLLdn3TBfAVS9tw-2gn1MRF-020OozC9og8,"멘탈없는 정글",1,"champion spoon"
_7Lz87c5ITsGmOF4FXydmbaKXX_VGA_seEnbdSMYjQlL,"One deal92",1,"champion spoon"
_7o4Jx6b4mUGlQEdPY8LM7036RYOZBhKYVdkkpqhVpV8fYQ,머충해,1,"champion spoon"
_7OI4pm9m1ur70I-36iHty-5HClhpvpA5mdqT6HRw1Hby3Q,wulihuitian,1,"champion spoon"
_7oqqA4awPMStOzuPuybQNpE34hKARpuORbt374zxqfA,루까치,1,"champion spoon"
_7pjWALTZplqlcjtmYpKCbHZLWOMSwFbSZW82aU_ORBm,dzil,1,"champion spoon"
_7s3aU9ECKCGsQPavgA8vXmkv3KkkuFOE4hv79CSp7LrqZLdai3rNXaW,디서블,1,"champion spoon"
_7SakRThn5qhq1L89nt2dq8hgGmTI4o2Okrfv8dJmc-YwaA,수아씌,4,"champion spoon"
_7tDSXd9_BD3VHSwWZLyq2_axJ44ivv6qbjcRIlaloDX,Do1u1u,6,"champion pool"
_7TqoD4pyrSwwtpD2tEKDNHwl--RJ0xSWFZfb8g4mdor,밀반입한우,1,"champion spoon"
_7uMR20sd6sQTHM1zBn5U-Zo99hPqk_VPqxicISucA1W,표적확인,1,"champion spoon"
_7VJCR1oGc-jK1dBnkA0IlLrc4fTM1eIRHHSfZHJNiypwzA,Mushroomhead,1,"champion spoon"
_7VKk2ppMDxSwt6s3d199jiy3_SkVeXEHJylHiGjvpYO,엽떡우동사리추가,2,"champion spoon"
_7VpFIw81c4du250CRwYOBx1FUuwLEpyLbL9204UMhhx,짜빠구링,1,"champion spoon"
_7vZPvXons-G2RMhOwXSDAKMNrsL3Jcu4i1pc8L5xsci,미아핑말고경고핑,1,"champion spoon"
_7wqWRoZaGUL3LGfE9cMBSuWuY5qdf_b7cazGILxz3Lv8Zw,"공 갼",1,"champion spoon"
_7YRkMhPEU8FOypUDPgMoPY4u7rD5Mw_MFlwFeXACUBeqv0mQILXhr_b,"롤 어캐함",1,"champion spoon"
_7ZnxQTjjMqOIhBl2vPcSKVBSrJ8NpYoz0tbHRYu0YFhqHg,퉁퉁ol,1,"champion spoon"
_7zR71k6ZZQfh_YoXVgEzIPk2i80N7larHmEY4rCA-sr-cU,엄마없는페미들,1,"champion spoon"
_7zS7v5L0clCs5V8nPgpd_3LNA4R4xupzAAl5OESdmMnrUATEgQzvfb9,"chaos Wo2rld",29,"champion sea"
_8-ptc5Db-sNRXo_FN7E28-OqrXoYcY2dWmygJ-fWk6NIqU,마도미,1,"champion spoon"
_81kc9VlS_AKD6tFjKqLPgwkg4yzZl6ZDbwVJ2ZneR_X,토마스and친구들,1,"champion spoon"
_82CTjl9getxunGIlGCZLa8VdRraUuObS4UClVQ1hwUW,"Flex 해버렸G머야",2,"champion spoon"
_83IEGOHDOC_4Fzsm85k09gD338Y1w1D3XSu0RREy_A4,뽀뽄데왜넣어,1,"champion spoon"
_86PBkx86yxr5bmE31NwD7qDi6asDQVY1FJmEZOKPJ_J,계약위반,1,"champion spoon"
_87Eii12cQVyWQ1XBo8xs7oT6O35OvdNsu6BMTUeiBs7,R키도난,1,"champion spoon"
_87NzcgipjhaieRivgNYTrs3iiA_OAP8Qf0Y3j7R-zqN,asdasdgw,1,"champion spoon"
_87QJIgFP2ZoloOEJIlykF-fyZF9cem7vDdTpZzaCzBW2vo,"잘생긴 영주",1,"champion spoon"
_87VLfu-7cirac8Qa7ij-XWBc0dj25U0ZpGdoirgO950IRs,바론친다낚시였네,3,"champion spoon"
_89t4KWueeOuDGtsdqAIMQH-hT-Ki7vLvZZDbHyA_vtn,"TZ 욜욜",1,"champion spoon"
_89VCvWVpfpF6pr3l85UjEhClEm6bE1QqM8oXI8_91J3,Cham새,1,"champion spoon"
_8a_xojK5PwQU97Cnzp651upZ44XDVnF4kasfzlqFDJu,너프먹기전에,1,"champion spoon"
_8ahY5_3zRNigGXFAHJKyFaGpEgnN4g4Dww_aNs_IYnUF230wCezPDeV,jgsup1,1,"champion spoon"
_8akX7fnMD-bHYctYW1gY9pQQwKSkt4kdiCFwZDH4wwv3jw,"지 배",41,"champion sea"
_8aTPjiVFDXO37JjbgP9BiODv7MYyhaJnFfEUGYXjjjP,Gunda,1,"champion spoon"
_8BkHep1Y1BdXOkjdFfuX8h-JO3uh56Dsrs5I-t4GAZE,"Ganked by mom",43,"champion sea"
_8bWvHtV0xLN-IpGyuX39QG-1Rqe4m-j3YVESaQ3caLw,"6학년 4반 박소율",1,"champion spoon"
_8C8wAgZ2V3sP0XfBGFo_db2lp6lV9ij9wPnf5tcXkWyhoFhNwKIhje4,Selana,3,"champion spoon"
_8cECQvbo7PH0GSQRM54Q5NOgp77zQhJD-K-7jsiW4EHAQM,"깜찍유저 뚱이",1,"champion spoon"
_8Db4aUp9zYJEZmE_vGLDEP7Nxfs-P5V0F7dTJfoZRL_ch6fiM6mYzpF,"리짱 사랑해",1,"champion spoon"
_8dqa4Km10Pgd8JizcDZLv7tDwA91MNj07D3rUwcJIIgpxE,"Njc Sunzero",1,"champion spoon"
_8Exl2xpZ6c0Apb2ERAupH6rH_3AUWjZJ1CvjzzoFJCjh29Wk9BdEQf3,아구창때면던진다,1,"champion spoon"
_8fPTTAKKsbezmepxkiqlvso2dyccdfOBfsFXRfkINJr,"ITS YOU MY LIGHT",1,"champion spoon"
_8GcUiPsOPaF3WtdH0uy9rWNKrrvhHfc6tndI1RG8CgwyU4,프로그키스남,1,"champion spoon"
_8hDzu0rnhYJTTGQduFEQwb-E_5ZjnLX6LlGImtvw9psrd8,얼음녹아,1,"champion spoon"
_8IlND014LYptDIAF3rVYfbgWprrUnVlJuosAMVnu8GfvBE,정글탓하는원딜,1,"champion spoon"
_8IZsBQEFsJgf_YnejVap4u7fiKP8NrblC_t4tkawK4HUR8lQEaDLCd9,도갓12,1,"champion spoon"
_8jlpQ3cCOuzLIRr2WfkJzJDaA-zEo00xdViM5yR-_4bawslBVeCVjEX,fursuit,1,"champion spoon"
_8kFK0DK8JDuoJFuK16u2r1iN0DOMrT3fyW8tEAGlV9K,0neRepublic,1,"champion spoon"
_8l2keejJGUKGs-yuotv6PxTMW0lRlSWBFNmbQ8xEQp1h-cSDak0bAJK,Goverher,2,"champion spoon"
_8lHRX0su0PFBEsGiBHlFlrCqVkg8BOFtpIPUBhMEUjy24A9lFEj6O2x,"The Bans",1,"champion spoon"
_8lolU2mU686jgPlyNsOEavXf7selVVrZHw8zKrEhsbrewQ,섹시했다,1,"champion spoon"
_8loTzMmQI4rb8HUFTlV4LaC7AY16OAzo13LrLeatx_J,휴루야,4,"champion spoon"
_8mJGJiGk9-j4Nbfzgoy_jintNWaLJzXNRUtsam9LdVgkNY,Tuso,7,"champion pool"
_8p7dtmkNHp9RPUZsg76pEoU9L5S-BPk6p5zA_NHt1G1Zk7Ogl3nTtFF,SAEROPNL,1,"champion spoon"
_8POxvANk6MMsgNIEWP0dcyJOXBYc1cj2ilPWbbmnGBi_dA,"현 SOL",1,"champion spoon"
_8QD82bzJJ5-WSmPlfrFXu19fl-JP4efG5DaBfSGVnuq,쭌PT,1,"champion spoon"
_8qpNqdAGlQ2rZVgwPBio4ahcBnF12Rs4l3lzPlHobw4YW7s78d3qW8W,나찬행인디,1,"champion spoon"
_8Qw-VezEOB_tDSn436Gkt3mOzg_strHKX2b5K5fTOVhmck,"나 이민준 아니다",6,"champion pool"
_8r8xHp_uWg37f-7g0zzb4KVVVLQB8d11zgQ0V-PKUvh,H2LL,3,"champion spoon"
_8sd9QeZaHWdj5IcfrU241lMNN8EpvCPHNCPLedgmEb7Azs,빛짱현,2,"champion spoon"
_8Smn5oOZi8ZR29AdvbKNZySyGUWr9CcjkgegaxjiZIn1zqEjHj7JL1k,q한방이면죽음,1,"champion spoon"
_8sMTdYKotvWt-EsyAImOJ6m4nBKL-DN9n_6afJoh2TC,쌀밥에차돌박이,1,"champion spoon"
_8SQzQJ6oNx57kXW73hZXkyTUSxAJrNZYwlxV69nxX7QZuc,S2Red,1,"champion spoon"
_8t1o6YkzLSKLjAKCYk0a0iFQ_sc7KIRjttiJcpEDKwTKnY,버스를타자,3,"champion spoon"
_8T7b21YJGEPrBvDQl6-P-ArbTNL1gjzWxmZmSfYjEnEihMvZRr0yi_W,Longitudinal,7,"champion pool"
_8wV2_6Fm8eoaPQzEb1wGHowdNbqi8MEAAnpxdTuIG3-g7J82PRe4UkB,따그몬,2,"champion spoon"
_8x5Sb5JSnkT5xnZeSjz8UMcwzWJUR_T4fReeLpsWrOpTPI,"임 영 락",2,"champion spoon"
_8Y72Oqv2SK7zVTQtBneWdUj1AS7k5E8KcVaFkXh5Pg,딕테이터,2,"champion spoon"
_8YHFkaiKn3dqgApw-6m-T0ooVzAHkwva1nwutHCbbj8xb0Gw3oa7WGS,어굴어굴하다,1,"champion spoon"
_8ZtKxSxC4JvObvKPhQqHI3HDt3SqwCuDqTOefs4ln5e,월향량,1,"champion spoon"
_92WKrvlZOIGBsfPhifW7e0w4aMr82V3QctwHisLjM-oCrTlcjfBau6i,신이되려는자,4,"champion spoon"
_92WQravB4IASAx5nEXzr6AEVKlni4QAhQpuq3poM2m6,"미드유저 김중간",1,"champion spoon"
_93xaVcyWZc5RyoBscPi0ice8QCCeiz15MdnAqG4_5_rm3Q,"DRX Swift",1,"champion spoon"
_95VTPBL3Nc2QB8j6PLYIJQIiREeA5TlUMWL_PNr6GU0SsM,"MC몽 fan",1,"champion spoon"
_97esStk27xa10mGl7tA7DwZ5ShFjMkxK-ZyLG-jfuI,허무상감,2,"champion spoon"
_97JezzPep4vhnGYtlHLV1GrvelF-vaeyTdhTfWVEkby3QugLjGVXI0Y,"대전시 시민",2,"champion spoon"
_997DzKUeiDrvkObM5fqoAg7sfvrr_0fA5ZQTYir_ympdWQ,도쿄맑음,1,"champion spoon"
_99TP4BVV3Kj1SmLsy4l869eLMhtKz5EgT-GTO-u_4FrrVk,라인전은010시작,1,"champion spoon"
_99UuDzm-eS9efnkg-mEH7HD38TKB08_qdnUd27OO9nn8HY,태현이만세,1,"champion spoon"
_9ANrreTdqADUk8ZT_SFGhli7IeocgSrpZ32op1NNbRvCtg,치카하고자라,2,"champion spoon"
_9b9R-e9NilbNDKaMkjRkGBsTGylRgBrqTmefGgzz2ChEKG0rYvmBQk_,푸헤헤헹헹,1,"champion spoon"
_9bDTFL8mspU1DTLFzf8tTmGomWiZ7PZZBZ6-UazvLiA,웅짱샹,1,"champion spoon"
_9bm5ujSgPDrlQ09CjJmqPtVauno3XOeEuz2RvDo6lUhgPYKnFk99FEN,Izyanyung,1,"champion spoon"
_9D49iabxzOVX0RzZL4SKSA6kdRnS99SvBRnU4-F8cA,김해시청,1,"champion spoon"
_9d8_63oud2QgHV-p3IHSMC11sbLiB_7HwYki4HDqe87,임꺽충,4,"champion spoon"
_9e-twD0OH1nhSmWTOGYsbLQF2qZtE_uRTaUx752-FKBgCE,MONYPOWRSPT,1,"champion spoon"
_9EZMAJLjsK9ra6fLHJN2edVPSdjJ8DbWFdJ0f-WKtYFNhQ,전설아님레전드임,1,"champion spoon"
_9Fnxv4xf8t_DwN_IW8BhqHnoYw-gSH1o_-iDlmYszpq,대가리반쪽난다,1,"champion spoon"
_9g6N-BA2Pm2oH0xUyJg4F4cZP8MQ9kQ-vf3AhdwkcMFR8U,너네국왕안두인,1,"champion spoon"
_9G87_7mL_0Yon5v5S705JZP4sELBW-N-9wWhxSM0Tqr,원조할머니뼈해장,1,"champion spoon"
_9gE5NbEHxDVRovOPiPVg4ELBe279V8Ub8jEnmUCV0Yk9yw4MyorN5pu,키득키득123,1,"champion spoon"
_9H-5EauZorRAc2NrE8Ktc0hkewvQVZ7IrcYgI_hVinw,위트레흐트,2,"champion spoon"
_9hA2225irqhI53iPbSwQ-7BdaU18_V41vTnP6pbuHvQ,앵무새3,1,"champion spoon"
_9ImS1FGblCA4kSfNoE6D8ALu5fagD-T3bKKY32ftVHtveU,멘탈엄청약해요,1,"champion spoon"
_9JAUQ51LnB4oeVRtvDw5_tmh9hFqeBJu5cSITC9P77k,개짬찌년들,1,"champion spoon"
_9K8oj-6BKJdMAHy1mwM5txNy-ofvj5gJnPvvsKfW0lHPNM,"쓱쓱싹싹 명훈이",1,"champion spoon"
_9kLK2VCp77tTNHjOAFAWuKDsNg1stNPDCswAdNXFkMR7X0,"백커트 ",2,"champion spoon"
_9KwxJW-yl958IMKX63XFd64OiQ4V00-iw3Mnjkkty2q,홍합을즐겨라,1,"champion spoon"
_9n-VfHQuyvSzr_P4k9Jx8QFcWj3orswGg37ybhTH1zd,SlayMaker,4,"champion spoon"
_9nd_q1pJCL_VRG2Bp0nxfpZFWvrNemgm9I9uqMMl5RkQu1Fp9ghA_gt,"Buhui Wanggi",1,"champion spoon"
_9peVa1AUyq-fRsgOd4M_9iMd29DELq-MRN-xX_fOxe0v1o,양학러클럽수장,28,"champion sea"
_9Rb1uAXYxjd59948h5tDGHOvHrmQU03C5s_ajfGQh-Otho,금메론,1,"champion spoon"
_9T2Deo4V-AMWWgHbMP5-TflscXNuVGmk5wgtH_kjfsI,스펠체크하자,1,"champion spoon"
_9TIT8wb0tBWn_8kmCOipP1MIO1tU-LC9tjZbCNbQEwzYhA,주동글삼촌,1,"champion spoon"
_9U29oFOrtOszmfIcIp4baFeTwr6pZMpln5WhKV_5p9SIlk,쉔상님,1,"champion spoon"
_9uUKxMQ36UID-3ILEvRLQpix91aSG_PccPJcEu7B4ef,도미야사랑해,1,"champion spoon"
_9VDLp-0Z5CWJB0j4Eaf9eprscV7PMACOHNeFMHooYqwieGKGK7rCdTU,누구도날막G모텔,18,"champion pool"
_9Vr4l8uhr8OxXSvXstmvgF7EnlFIVqXvvJUhK7QH2uk_Y8,"SKT T1 Teddy",42,"champion sea"
_9WH2iY2Y2EHFcMHjC1ETZpESeqGwiBtoP72QvBjDcujQ_1bUEcMdv3_,불닭하마,3,"champion spoon"
_9WLJExhKKJUJaM1qHY6KG30v2OY8LnfaFTFGLCaJgMa,"23세 박민용",1,"champion spoon"
_9wP4oAJjl70y5-8yJqA-Imt9OoqylePmheZ_QIcS3J0C5I,도파으후손,1,"champion spoon"
_9WtvvutvOAf0z6rMmWQEH_X3lntg20BRHxK1_Cm6xYaWkj79BEE_EqO,wowbubble,1,"champion spoon"
_9wYpjFlh1jDNICyjQFekgUVZ0eD8dkf6cje4_P0xuJ8WNE,고천비,1,"champion spoon"
_9xH1aLOw7cinBkxkGfHcNXmCiuXxriC4-gdES0esq0,Cheese,1,"champion spoon"
_9xRgPaCinkcfxP2tuLcYpPzs9kKgLfukyrvGzzoI4rIIi9exm0M1YFL,"혜 붐",6,"champion pool"
_9yU4-fbHk4VoSrwq96CweUs9_PPAge0Q8gRRK8H13kf,"The Revelator",6,"champion pool"
_9z6xagnKrR4EkiPdUubdqrrYca4Wvolh39kkGVCBcicK4nz5G3O1XqR,"FA YuNi",17,"champion pool"
_9zcaSwv6VKqGRP-oJ_e62sueXZBLL4vs_ZZX2s5ZDLzf5e4TR0PQR0W,"엄청난 승호",1,"champion spoon"
_a_dzAgYOTnWY6Wl4MtWFYK6moufSnRnJEEBfC8nUQnH78xNGYQT9hE6,"xia chi liao hao",1,"champion spoon"
_A-3g3x8_O2dHgDLB0fen5XPDDJUYg04eAFw36LrH4ajRzM,울지말고웃기를,1,"champion spoon"
_a-iHg1GAFHziPcsVR4Wu5BcKervJXV9MVBewOaLCTuH,근태park,3,"champion spoon"
_a-UfRg_T3RSmXnTis5A811V7fiMoOT_VHCOxALMyIgL,Bronze캐리머신,1,"champion spoon"
_A0-qZc1ku6UZJo_AzVdbv9NMarTJlEBtWYf3zE4dpc-2961mgDByM1Z,"3픽 양아치",1,"champion spoon"
_a05fYLZxDIS2ZRhbXWRL8fxJJNYNsDcckG_Q8Ar0fQYtLU,"피쏠린 두피",2,"champion spoon"
_a0ckvOv2xbhPbDyHYOGY3y8KdsSTWK1lmlHvYNksXQe,"라면 잘하는 남자",3,"champion spoon"
_a0FOPKfHHKwEAHCse1pDXHwOIDqyTBW3R9YcSBUGEDR,탑정글봇,1,"champion spoon"
_A1GmsAz-dRsPCF52QGHIy49UF5UmeJxeoL9aMpfRL77S5rSfJMtpn68,"Oumae Kumiko",20,"champion pool"
_A1Wm29UJsXQY_AixDJaiMZb15MM1FQxD3glbajbU9QSlh3P0bzrvz6O,건강한준엽이,2,"champion spoon"
_A2HFb4p-8xRPo5RspvP3drW9dZznoiXhwSMczrGCAPt,돌레드,1,"champion spoon"
_A3D_BX8oRCe4R2BqxRoEAsBCGZeymkO9gjKyVBxbBWN,학력고졸직업백수,1,"champion spoon"
_A3KMyZMY8aTBGe-oKhRmooKnonT1IcX1IxXVTMUzpIR,예비군만세,1,"champion spoon"
_A3zx1WK0SC2VgItklNWZ_-e5GCBrjkrkoKwya-1SwpVnpw,짱또롱,2,"champion spoon"
_a40aCXlBxFtuGMSzL7x5ss02hXmAjOjeQpSCruXQMI_,날씨는구름,2,"champion spoon"
_A4BY_k-HRZjwD5biLLkIBrFsajtWXkO6ZfdyGjgAXxm1ox8f_nBnLQ9,버엄쓰,1,"champion spoon"
_a4gxXLbnDKDF7JcAV5cFkPyMyryMCnbxRXzkrDbGms4KvsAs9I1M9JC,김병콩,1,"champion spoon"
_A5fs_42KqFRcT-zqGg6w9xReNW4A8HEdtrOrRoceYQugiw,"Support CLOSE",1,"champion spoon"
_A5lB821t3c3ZV0A9lFPCuX6kD19aCeNLuSMCAaTo9UZ9JQ,갓문복,1,"champion spoon"
_a5zvLJV7fmM2xqTC0l641NA1KaYpE6hsr4d37IsrIZZj6t8-I2ZGAFF,강안인,1,"champion spoon"
_a72L2LQ6DqNrcPccd41Mc5n3tsvF6Ela9L6d_9qiP7y,귀찮군죽어라,2,"champion spoon"
_A7gMVcRERct3VULAGo24eTHqHSvub2pr_e6SjWhijc,그리고엘오엘,1,"champion spoon"
_A7iEDkPQNvbB9kmhnu3JA9O3lnaW1FnQZ0wfrwP33GS,RYTHEM24,1,"champion spoon"
_aAUJwiAqX8L4b9AI_DdJj2hkGwaxUJv6jYLJa0_4Bdj,Chrysaor,1,"champion spoon"
_aAyjEDjG3ongLq1lpmrED8Iuhlm22huucQBs4vRK2SyoUI6RBaD9-PL,김건부,1,"champion spoon"
_aBe_umjFhrpCj3YBF4r5NxaH-DRS1s3CbsJgylVVxiW,서폿잘하는누나,1,"champion spoon"
_aBqdiJEmDnPweRBAQwnRKnQN1ihPLvytQtaYVTrstTg,"순 발",2,"champion spoon"
_AbYQuwUNRUANWnxi8PaBrsKTu9ti2x2HQhKQu4qHx4t,"칼바람 나락 유령",1,"champion spoon"
_AcP1yoYeEUObjcKX8BUETW9P65kLsY8Di-_VVmFX-vZtT4,개미알,2,"champion spoon"
_aCV3C3hFeqJUp_e1mGm05WA03EP5aXayQteDH_E5PPf,짱개시스트,1,"champion spoon"
_aCvbKLa8YupQTzzekwy8Ya5b5ZAq7OoEuivBMxQ6W3A,김승제입니다,1,"champion spoon"
_aCZQ7AWralqLKk4q--VzKk_X_TJEVUDl7cn_zYzUPPeUDs,더힘듬,1,"champion spoon"
_Ad-lm7By08aEc7evGKCtsLcVlUPBT4MtRxAVSfYMjjY,"나의 거대한 종현",1,"champion spoon"
_aDCrKlBAB7UdnNMsqCJYL0fNELaVAtEyXOjxi43eUval8c,현자수지,1,"champion spoon"
_ADcx7GMVW0Kk1hIThUhrq9Yslp7pO7n0_tHIvQmwfKQ,아련한생각,1,"champion spoon"
_adjDhs5GbPirbwUmr3tDwlHEuqogNc-GoqUwEdfG8IMUDI,1유0정1,2,"champion spoon"
_ADmRFHmZmFBjN1jjs3ix3AjbVWuvxLfEwXdakIC7FMVOidsCEi1Ch3E,corae,2,"champion spoon"
_AdScQ0Yd1Lt8pP3JOHfFY1JtHDExrkKxv5RmkWVzstEFfM,I쿠크I,1,"champion spoon"
_af3B2m_T2IowGmyhE-X4NgCszJABeurON2nGeb63IDUKSc,와칸다포에버어어,1,"champion spoon"
_AF7gbrhbiu5zFNrcH1b3mJiX7BlUobp-yyihTPzHiTZ,연승을끊는여자,6,"champion pool"
_aFfc3jh4nzisM65_NiqPxz7edm2XTNopWtxPEWhDYPx6zY,장학생우유,3,"champion spoon"
_aflOGVtXKhaToXeAg6u6ZoschsWHBCJM_F5sxWNkHgKg-vpA-XYrQNY,샤코하는사람,1,"champion spoon"
_AfZ65XRz02vvDOGq3XLGL2k8gw9v1EOSP1az4IsUKVnFak,"히 키 HIKIcos",1,"champion spoon"
_agFh9wtxLP6tSxrbo0H_JWVyC7lOSOI5UeP84_zg12S,라인전은원딜차이,1,"champion spoon"
_AGg_JA99PkGG5F5TWe1mVG59k7mRU806-3OQTVXFIVfN_WPTTWzD2A7,keair,2,"champion spoon"
_aGK3-0tIvCcd79MA3qgjoer5N1c9_YBbYzW_GGKw1sG,BoSoo,1,"champion spoon"
_ahBOHFFRgRhDnrtVQLICMOzUs6_YGaHOAKB61s_i397,"아기 여단",2,"champion spoon"
