accountid,summonername,championsplayed,championpoollabel
_09CSYp7YSKWIT5um-NZvQreUv2-hrBaKPVeXQWUsJky,니코네코지아코,2,"champion spoon"
_0AC6XyyHbzkBR18hFIpR_yXyse9O1wZ5rzd8Tk-2AI90ro,무적별사탕,4,"champion spoon"
_0b7l3n4H2m0GcvZNE0fRG6PXp-9ETC26TZfikmYatRrKye1GsvXXhdf,자크라면,1,"champion spoon"
_0BPYAk1LHaVsVTq3QbLugRehPbWLU_61wPwZy1b_fNE,탱탱텡탱탱텡탱텡,2,"champion spoon"
_0bstgAgF5YULJ6UUIYfiahuKkSfDbp0ygyuBZKedf3pWykOlVnSMD8o,아이언4는대단해,1,"champion spoon"
_0co2fFySMVYgS3tFpoF61fnZlCPeAhIevYnC5HN425Mo6Q,"Clean Rain",1,"champion spoon"
_0E98k9mI_ssiXUlVpOMQUsSH2X8nY1yobdxWsKfqH4U,정글에원수진사람,1,"champion spoon"
_0eEHwb9JBoDE3aE0m0n7BmKme19AW4dAjpwMVgdWdMq,SLIPKN0T,1,"champion spoon"
_0eX-la8wk7xuQ7en9J9ncJZRrH0J5y03kcCYa-JEMYK,당기면죽일수있다,1,"champion spoon"
_0hYVjUSwKYqcCqqxsBqYrwOFn0yhu6CavdaArxm1jaj,동hee쓰타일,1,"champion spoon"
_0I2Mkem9ZPcYUY02jcTgOysiAzl0jle-JxMETBrd6XA,라임캔디,1,"champion spoon"
_0jz1fo2g_p9XUWBoh1lqmfyW1U7mDm7ieGz8QvLUClxTuX43Ql9n1RO,일광보살,1,"champion spoon"
_0KvRasBpX5zZdw7vCWifROhi5RXRAXa9UnvN8slTblQ26wBjshvRcyc,"Tera Burning",1,"champion spoon"
_0l-LbWy8R_uE0UAU4j_ZZMpg5cmzgXMUIxlVGEa1LzvcCU,"coin seller",1,"champion spoon"
_0LoHDNsuArWy38rEeQhqYJ5MMEjCmuBSm3ZdrC_4PsRywg,Mors,7,"champion pool"
_0NEaG9EQQK2Xd0mih0wTVea3HjXzvp8pFJB6LsZTzqMVV0mdEVJm8R1,두부한모씨,1,"champion spoon"
_0pO-DlZ5jGe4CVd776Q5zNpVQAxHeYmuIqCqGBW4sAaUBs,병든탑신병자,1,"champion spoon"
_0pX2-lMyAZ_W-LS3ehhg6FOPcvB9Z0mPe21W9c4w5A0,"조명 인테리어",3,"champion spoon"
_0Q_BcluN3b5ibuSV60cawsfTBgozhBUrI7kcasIusyY,SniperTimo,1,"champion spoon"
_0qciJCZB5SbsL9nMPyhl7QHvBE-_dygyT8FzpF2o34emwM,"C9 Flurry",45,"champion sea"
_0qig9LxU9HvDo7CqMBunk6ew55Al3x3S3HHjyLRPBDlIfoL6jj7zHLw,"음 뭐 이정도 킥",1,"champion spoon"
_0sD7agY5tLvir2up0SV6xAyoXiEaOPCPfxEwhjhL-W1dBo,i민규i,1,"champion spoon"
_0T4hugBZ8qDRRoHR9GgA3lgtm-A-tzpGbQm4GbpSPU7,speedmod,3,"champion spoon"
_0Tql2IC3fEBzLGi_w5SF9UiXuEUJV6p3fDJ7izNg8czsik,"넌 도머리 댁수리",1,"champion spoon"
_0uDBFVVFK6ZwvbXox1eMB5MvTNJmGfFf1k1Sh4PAUDl,"Return Zacchaeus",1,"champion spoon"
_0ulZKah6d5xRSePhEnYrt5wOBDylBP8qAfk3UDccszm,"Ps Elemental",1,"champion spoon"
_0uogwB64UGU8l5yyOSB9qs2lRpoi8iiZOKPOa3PoZfdihI,물화파이터,1,"champion spoon"
_0V4NsWkKSkmRIGoQgUvpAQgW9rtNQET7C5hen4c4aEbY-U,"아까 핑 보라며",1,"champion spoon"
_0Vo92hNjwoD5dpSwpIogrJBszxeqwa8afJvK8mNh2of_M0,원딜할캐릭,1,"champion spoon"
_0VX-7LvbA1zO9b6Jo5h8fNmAxvmb_8D_YC5TKnLfv6-,벤느님,1,"champion spoon"
_0xawD4ERLDb5bpvEhvyu_FQv7Z2-_dcUZryCUO68OCvT6QT9w1GJS4m,vwvwwvvwwwvvwvvw,1,"champion spoon"
_0xfr8jFQX9nX4HXyist7ma3cUvajcP62oRPalkVf43bKNA,"기 펄",1,"champion spoon"
_13MCaxZxzdF9W8j0zIWHc3yE9NXSKyxmaLK9tsDWB29,"She is limp",26,"champion sea"
_17BuyDshe_Cdr_X-swQY9R6nxpCjeQjqoKBS4CXSO5i,NOrgasm,2,"champion spoon"
_17p-iZ2m-Ar5GRPyNKhGa9ZqXvnSrW4hBzoZ36JzbUyAyM,서이올린,2,"champion spoon"
_17qgi2MwbRHl_T_cko79-lwyU927pltD6-ETmjF9PnKdzk,소풍나왔따,1,"champion spoon"
_1D-ut0Wu2Pdk_dr4ufmbUMuC5a9bG1rWLnLQUqXHya6Llo,박환희,2,"champion spoon"
_1DbNT7bSPAnu7tNMi6NL4TujRqu8kfJSdfjXcoEKbw5b-MFrMYh_R37,"딱대 지건",1,"champion spoon"
_1dRf51Ef_BgojYeh8PDIHsCTNu2JS2zJtlT1NUjapjC,만년루저,1,"champion spoon"
_1dTMuH1OS5C-vw6h7eAtloPFCOa5G8kMnZGxOgmg5m8lGds4vi9W1VA,애1자리얼,1,"champion spoon"
_1e9r9Iqj7yuaRneSJeBijqZCAcdyfmnCKOYSvxsG0cNq5E,개멍멍4,2,"champion spoon"
_1ejZxtxG4wRB_0yVnduL6oB42eju_rECyuiDwoQBFUr,언나라,1,"champion spoon"
_1fhg8B8rLx1LvYCubXltUeRhSNQuKnOFltgKHKSwmbryio,로롱이리랄,1,"champion spoon"
_1G0hpsdU9rQniQ7IJkmD5FsFYF8IxF0yLNR5y4XDB2e,Jamm,1,"champion spoon"
_1H7-pX0_IvmXlZxVA-Y3O68ZY9BgEK5I5DczFrKRqf6hRg,"성빈이네 구아방",2,"champion spoon"
_1H94a4wjgeP2YtsfOXQ-uB4QSbJFVKQnAmS2t9aqVOE,웨인2,1,"champion spoon"
_1I1BK8pJbLAutVWSIwhWUgzWVj_9MLj19NBLjzDjfoZ,saf223,1,"champion spoon"
_1kU00GD9HImxdQRdZtyEN_1FCxSZNiQWbjBRgGpD2NNS_U,정글이라죄송,8,"champion pool"
_1LCYTEOitrfVrCYobTy6hWlk9VbmVoJj-GY-LuhZyw1TqI,"Azubo conforost",20,"champion pool"
_1lxy3PTfBIpZ5vTUYkiVMp3nXaJ6PXl77E5MculuuuL,"우 부",1,"champion spoon"
_1mNm_PjnmOi6NGw2dcpubt40IGQL-6wOASeXuN6SP9PxAY,비실한에방데려감,1,"champion spoon"
_1NbmN7SVVuTkMV7pG5IqEwa2M_Db07eqjFokv9AFIEG,너구리의기인꼬리,1,"champion spoon"
_1p-ECbSruuACRQzXAotucJc51X2app_Xv9WeVzdRunShNg,말랑흰자,1,"champion spoon"
_1Q_SAp8MbKo8iTm6-lI7rg6HDGw9T7lm6BkUkJjqFgLGYneAelTp6eo,"Red Faker",1,"champion spoon"
_1q00PcOhKybbBfy7JH-5UtZ8ERmTDKfz696SwRabsj1,"double jump",1,"champion spoon"
_1QujXAK4uqzLFE3oyZLURFWui3gQNjQxl_ni22YxSH3S0A,원딜빼고다잘행,1,"champion spoon"
_1SAna9BxS4jnQ1DZcegbW1m1R_pGl8iJjJ3LW5mKHDYntk,"원소술사 빵근영",1,"champion spoon"
_1SB7TZFCfBgpwvQPLmwJDUKbqYgSMrar2bgKkLA2wyw,okins,15,"champion pool"
_1SGeRe9Q51QxCklF06hi4PkXYv1MmzxcED_g7sVYIXBylc19V_u0OAF,"수술한 똥꼬",1,"champion spoon"
_1TrLyyY8VKzvslqpX5alNGvuHg54nQYBgQ0n4wHkegP,태길리더,1,"champion spoon"
_1TvNmpRx4JJ6_ek4Xu0j9WOBb9az9jPP_2YFPBPz4Hd88U,탑털러갑니다,4,"champion spoon"
_1U5oo2z6cDflnB79FirwUasd4BlcJ7ZTGcS6HMRf48GPEw,TBICORGM,1,"champion spoon"
_1uiI4cW1ohNauULHPofn2DtWlqaTCODQgZsgRFbRQIVYOc,"캡틴 키드",1,"champion spoon"
_1wQFUDxKg5iTA6L_1d2369R0drwz0XVeH1hMOXmLhQ0blk,탈주를하자,1,"champion spoon"
_1WSNSTpjDGePcuTWPxlx-uDBL6bDngoTzXe2FFyPhMtnAk9c9gkaXaZ,시리카,1,"champion spoon"
_1wW2k2ka1SbcduuGMx2Rp5GNW9SHPB3svHIFdvcNAP2bi0,끌면다뒤짐,1,"champion spoon"
_1y20MxMegQbc7ZGxqpqnYghRMecCK_4XXP4yhTTzgcJwFNti1LGhZsO,"Perfect Of TOP",1,"champion spoon"
_2_N-WC3ARr1wGRPRFgSz5L0OC2Q9zc1OpL3EaeciqRi,차가운감자김관의,1,"champion spoon"
_2-mcLLNXJyYNFUlreHWnO6ZZChKQniwv2gJ3zfVMzIY,미운오링,1,"champion spoon"
_2-RkizXetdlIKgZn4tfb8dSFAIlgEMiJrQQJYedN1tKHlI,버프욕심짱많음,34,"champion sea"
_202rvcmTU4Hc8-UUNHJBzH1wPTvZKVZfFMym7cPjCHEmWAAVg1tzX7A,유리린,1,"champion spoon"
_20KE5xYINjhb4WeHxdEEiFgYjyz2gB4FPnjMSc2zKbhY5E,SHPG,1,"champion spoon"
_20pKSgPzuX6CyR0UNQny20KAcqKPWLFbtN3PDXWLsBR4oI,"마 늘 충",1,"champion spoon"
_22jRXuVNJlW2g_5rW7J4jK9ySQeIDD_-wPO0IohrqTp,"토라는 나끼",3,"champion spoon"
_23ZiFZY4t5k4kExHqLifEgE9EXECpzZd0q1NrSmQbUP,Jepeto,1,"champion spoon"
_254QPrhwcMrdvYf-HzQTaz9DL5jkmBLxLcD42AtggxLcBw,knightzn,2,"champion spoon"
_25liBDLdBFCJy9t9OXxOAebUn0gayO2gfIKqgFe7UzC,"점멸 점화",1,"champion spoon"
_26AQnBiabxMMNLvkf6ok8XcXfb_pCBCG3NghlUrcLk,Aureate,1,"champion spoon"
_27g4dDaxEa2TwdCffhNpAbr8eWRR4Ki5xy9bfh0r5mV,요우세이,1,"champion spoon"
_27hrGdN48SwrFYpln8nqev_ZqsRA8x68tLClPcEgsgh,SsalLoByul,1,"champion spoon"
_28hg36MMtZLSCgpi7yaW4yJnri163Wxzi2NvKS7G9bMvVM,최초의바퀴,1,"champion spoon"
_28RHeYo2aMuyJSSRw56mD9XjkGDwOf7EstFm0nc8zrViexpsN0q4kIi,죽으면도구차이,1,"champion spoon"
_2AIc2NP8gmuqto5vAoMyhcrfv8leQ5o29jvsAdOM7wcaJ60LSV1IQLV,채봄이,1,"champion spoon"
_2AyIJGGjCqyAhMdDz9fzas-TBof55iYhGYBntRpwNIHUSc,현실똥쟁이,1,"champion spoon"
_2B-P4VuWysh_pyK1s92ZQVNORCyTcWi-HMyND7M14cRfZs,몰드이형,1,"champion spoon"
_2B4Akja4I7W5B8sc0rc_uQCOAVqF2usbDE_a0R3l1bD,"기무치 현쿠야",1,"champion spoon"
_2B5zEOZEcvK-IsbpkQt0GbJObGWXRlhpOUNNemkUtWD,"탕 탕 탕 탕 탕",1,"champion spoon"
_2CJrUJ5jGZ-UE7xihYMnKlUvDYVzzXV2lyXBBJSVW97bEQ,Monsoon,2,"champion spoon"
_2CkaHWUQqt94v0yxUede2ermNYFX_Zzjj10kZaabo8YzNY,"앗 강하구나",1,"champion spoon"
_2CragCi6Ec9pIIP0SNeizuy8JvEpN8JiXnP3lwK6F19pxA,색연필,1,"champion spoon"
_2dAoB65GINogUVDjhg9IKMWz8FANZ3UveksBsDVljatgCM,yeachan,1,"champion spoon"
_2dcu1dsF8_NvFeMUtxkL4EknW4BIzfXu2ydrD0r8Ub4cjE,꼬리친늑대,1,"champion spoon"
_2dR92a6XPdraZ6FXxMrJ2GQ4Vs0Vn9ZyTk2LjEjeaLEMTb7NSniW2aL,"탑 미드 연습할게",1,"champion spoon"
_2EqkyleOjSW5X7AguZts6tLJm217w1bx-YbFXXtHQIiBNg,자크로묵언수행,1,"champion spoon"
_2FjjURE-xXX7U0nF9QaDbfJmDgMEAEmJUuHlo-h5txwtT8,"아동절 수오미",1,"champion spoon"
_2G2cIq06xv2ODha0ApdZqbZnJZDTYFqMqG1GCnnIqr_,히어로옹,1,"champion spoon"
_2GXuQqGQwdpdtYDjTwT8qKc-swzie5rDKKp9G6zFkAo0FhHG8vKjW4D,근이몽zz,1,"champion spoon"
_2he3259V9iurw6jpAV7MDrG9_GTpMTOxOTWiSwpRaVnPMA,000125,1,"champion spoon"
_2hfmRpLbLykiivQqC__tWDDcqh2SdkpMzG2ZV4HEXjHRQA,"짚을 땅도 없네",1,"champion spoon"
_2HmpRT4EFMnoLY7V5oGcxS7NBPdiP5iKjf2ikr7JQds,룰루1위,2,"champion spoon"
_2Hpq6IqxcAHLVfC20OwKOETcZAXS0EojtZLw0xS812a,이사구삼삼오칠,2,"champion spoon"
