gameId,gameDuration,gameMode,gameVersion
4235811213,2358,CLASSIC,10.6.313.8894
4235211937,2422,CLASSIC,10.6.313.8894
4235038935,2206,CLASSIC,10.6.313.8894
4233009853,1698,CLASSIC,10.6.313.8894
4233011399,1265,CLASSIC,10.6.313.8894
4232843469,1618,CLASSIC,10.6.313.8894
4232833087,1258,CLASSIC,10.6.313.8894
4232673227,1370,CLASSIC,10.6.313.8894
4232304535,1372,CLASSIC,10.6.313.8894
4232135489,1537,CLASSIC,10.6.313.8894
4231892073,1802,CLASSIC,10.6.313.8894
4231554212,983,CLASSIC,10.6.313.8894
4231481467,1175,CLASSIC,10.6.313.8894
4231151563,1623,CLASSIC,10.6.313.8894
4230942397,1616,CLASSIC,10.6.313.8894
4230915010,1326,CLASSIC,10.6.313.8894
4230204841,1213,CLASSIC,10.6.313.2784
4229975726,1426,CLASSIC,10.6.313.2784
4229542906,1412,CLASSIC,10.6.313.2784
4228752344,1685,CLASSIC,10.6.313.2784
4227532963,1494,CLASSIC,10.6.313.2784
4227386495,1673,CLASSIC,10.6.313.2784
4227278479,2096,CLASSIC,10.6.313.2784
4227225657,1476,CLASSIC,10.6.313.2784
4226252789,932,CLASSIC,10.6.313.2784
4226146060,1621,CLASSIC,10.6.313.2784
4225290711,920,CLASSIC,10.5.312.392
4225136570,1580,CLASSIC,10.5.312.392
4225069903,1320,CLASSIC,10.5.312.392
4225054326,1681,CLASSIC,10.5.312.392
4224937366,1414,CLASSIC,10.5.312.392
4224891658,1138,CLASSIC,10.5.312.392
4223061077,2047,CLASSIC,10.5.312.392
4222966815,1002,CLASSIC,10.5.312.392
4222847666,1127,CLASSIC,10.5.312.392
4222810614,1707,CLASSIC,10.5.312.392
4222763533,1308,CLASSIC,10.5.312.392
4218237494,1665,CLASSIC,10.5.312.392
4216892789,1317,CLASSIC,10.5.312.392
4216753503,1321,CLASSIC,10.5.312.392
4216560666,2261,CLASSIC,10.5.312.392
4216069997,937,CLASSIC,10.5.312.392
4216075409,1668,CLASSIC,10.5.312.392
4216061140,1566,CLASSIC,10.5.312.392
4215966736,945,CLASSIC,10.5.312.392
4215980399,1317,CLASSIC,10.5.312.392
4215759559,1583,CLASSIC,10.5.312.392
4215773214,1338,CLASSIC,10.5.312.392
4215663649,1134,CLASSIC,10.5.312.392
4215363858,1625,CLASSIC,10.5.312.392
4214979998,2151,CLASSIC,10.5.312.392
4214990276,1284,CLASSIC,10.5.312.392
4214734117,1281,CLASSIC,10.5.312.392
4214665912,1992,CLASSIC,10.5.312.392
4214567366,1361,CLASSIC,10.5.312.392
4214510083,1523,CLASSIC,10.5.312.392
4214257445,2236,CLASSIC,10.5.312.392
4214300686,1890,CLASSIC,10.5.312.392
4213991159,1821,CLASSIC,10.5.312.392
4213865508,1939,CLASSIC,10.5.312.392
4213441509,1584,CLASSIC,10.5.312.392
4212778061,1128,CLASSIC,10.5.312.392
4212617083,2124,CLASSIC,10.5.312.392
4211647338,1875,CLASSIC,10.5.312.392
4211663289,1477,CLASSIC,10.5.312.392
4211526181,1485,CLASSIC,10.5.312.392
4211418387,1643,CLASSIC,10.5.312.392
4211344801,1674,CLASSIC,10.5.312.392
4210427204,1689,CLASSIC,10.5.312.392
4210322448,1294,CLASSIC,10.5.312.392
4209372132,1557,CLASSIC,10.5.312.392
4209234345,1773,CLASSIC,10.5.312.392
4209052195,941,CLASSIC,10.5.312.392
4208873115,1460,CLASSIC,10.5.312.392
4208646221,1203,CLASSIC,10.5.312.392
4208432716,2229,CLASSIC,10.5.312.392
4208294656,1482,CLASSIC,10.5.312.392
4208183709,2463,CLASSIC,10.5.312.392
4208093718,1146,CLASSIC,10.5.312.392
4207617108,1932,CLASSIC,10.5.312.392
4207670053,1296,CLASSIC,10.5.312.392
4207425321,1628,CLASSIC,10.5.312.392
4207338587,1358,CLASSIC,10.5.312.392
4207361443,1838,CLASSIC,10.5.312.392
4255795289,1244,CLASSIC,10.6.314.4405
4255761502,962,CLASSIC,10.6.314.4405
4255663162,1632,CLASSIC,10.6.314.4405
4255601634,1447,CLASSIC,10.6.314.4405
4255379515,1750,CLASSIC,10.6.314.4405
4255228631,1890,CLASSIC,10.6.314.4405
4252707261,1982,CLASSIC,10.6.314.4405
4251918236,932,CLASSIC,10.6.314.4405
4249716387,1015,CLASSIC,10.6.314.4405
4247346627,1353,CLASSIC,10.6.314.4405
4247333254,1261,CLASSIC,10.6.314.4405
4247328744,1030,CLASSIC,10.6.314.4405
4247161499,1958,CLASSIC,10.6.314.4405
4247052472,1537,CLASSIC,10.6.314.4405
4242033414,1643,CLASSIC,10.6.313.8894
4241849807,1895,CLASSIC,10.6.313.8894
4241836803,2024,CLASSIC,10.6.313.8894
4239392496,1236,CLASSIC,10.6.313.8894
4239164903,2669,CLASSIC,10.6.313.8894
4239025985,1717,CLASSIC,10.6.313.8894
4238878723,1223,CLASSIC,10.6.313.8894
4238834904,2034,CLASSIC,10.6.313.8894
4236315023,1394,CLASSIC,10.6.313.8894
4236105557,1434,CLASSIC,10.6.313.8894
4235949878,1242,CLASSIC,10.6.313.8894
4235878601,1541,CLASSIC,10.6.313.8894
